proteinID,name,organism,length,fav
1,Fibroblast growth factor receptor 1,Human,822,0
2,Gag-Pol polyprotein,HIV-1,1435,0
3,Transcriptional activator Myb,Mouse,636,0
4,Repressor protein cI,Bacteriophage lambda,237,0
5,Calcitonin gene-related peptide type 1 receptor,Human,461,0
